# VOICE_V12 POS tagged-counts snapshot (derived statistics only).
# corpus: hf.co/datasets/JetBrains-Research/commit-chronicle@5fd076e67b812a9f3d1999e5e40f71715f84bb51
#   file: data/test-00000-of-00012-2085aa4b49c438e4.parquet (sha256 b05b4ab34973c358d18475173e301ba0534cb0f23a15f91ba07b3af3fbf0d988)
#   CommitChronicle (ASE 2023): commits from permissively-licensed
#   (Apache/BSD-3/MIT) GitHub repositories. No message text is
#   reproduced here - only per-word aggregate counts.
# tagger: spaCy en_core_web_sm 3.7.1 (MIT)
# derivation: uv run scripts/derive_pos_table.py (top 6000
#   content lemmas, surface count >= 3)
# columns: surface<TAB>lemma<TAB>bucket(noun|verb|other)<TAB>count
abandon	abandon	other	3
abandoned	abandon	verb	5
abbreviated	abbreviate	verb	3
abbreviation	abbreviation	noun	3
abbreviations	abbreviation	noun	6
abi	abi	noun	4
abi	abi	other	13
abilities	ability	noun	15
ability	ability	noun	256
abort	abort	noun	5
abort	abort	other	16
abort	abort	verb	4
aborted	abort	verb	5
aborts	abort	verb	5
abs	abs	noun	6
absence	absence	noun	10
absent	absent	noun	3
absent	absent	other	6
absolute	absolute	other	67
absolute	absolute	verb	4
abstract	abstract	other	74
abstract	abstract	verb	5
abstracted	abstract	verb	3
abstracting	abstract	verb	3
abstraction	abstraction	noun	12
abstractions	abstraction	noun	5
abuse	abuse	noun	4
accelerate	accelerate	verb	5
acceleration	acceleration	noun	5
accelerator	accelerator	noun	11
accelerators	accelerator	noun	6
accent	accent	other	3
accept	accept	noun	3
accept	accept	other	11
accept	accept	verb	170
acceptance	acceptance	noun	11
accepted	accept	verb	21
accepting	accept	verb	27
acceptor	acceptor	noun	21
accepts	accept	verb	36
access	access	noun	257
access	access	other	12
access	access	verb	33
accessdeniedscreen	accessdeniedscreen	noun	3
accessed	access	verb	15
accessibility	accessibility	noun	49
accessibility	accessibility	other	6
accessing	access	verb	24
accessing	accessing	noun	6
accessor	accessor	noun	19
accessors	accessor	noun	38
accident	accident	noun	6
accomadate	accomadate	verb	3
accommodate	accommodate	verb	10
accomodate	accomodate	verb	8
accordance	accordance	noun	4
according	accord	verb	82
accordion	accordion	noun	51
accordion	accordion	other	24
account	account	noun	280
account	account	other	19
account	account	verb	77
accounted	account	verb	7
accounting	accounting	noun	4
accounts	account	noun	55
accounts	account	verb	9
accumulate	accumulate	verb	5
accumulated	accumulate	verb	6
accumulator	accumulator	noun	65
accumulator	accumulator	other	44
accuracy	accuracy	noun	21
accusations	accusation	noun	10
achieve	achieve	verb	5
achieved	achieve	verb	4
achievement	achievement	noun	9
achievement	achievement	other	8
ack	ack	noun	9
ack	ack	other	8
